Ulasan;
Kenapa disebut unik? Karena jarang ada pasar malam yang menjadi permanen seperti BNS ini. Permainannya banyak yang cukup menantang seperti di Dufan tapi dengan versi lebih 'jadul' sehingga agak parno untuk mencoba permainan yang menantang.;
tempat permainan yg cukup menantang untuk dewasa dan remaja, tapi kurang banyak untuk anak-anak (anak saya umur 7 tahun). perhatikan untuk wahana sepeda udara, mendebarkan sekali dan menakutkan bagi saya . saya naik bertiga dengan suami dan anak kami, ketika mulai berjalan, sepedanya memutar sendiri seolah-olah miring dan hampir menjatuhkan kami, suami saya agak kesulitan menyeimbangkan kembali, begitu juga pasangan di belakang kami. kami masuk dgn menggunakan tiket terusan utk jatim park 1, 2 , eco green park dan BNS seharga Rp. 175.000. jadi utk tiap wahana yg digunakan harus bayar lagi. tp lebih hemat krn yg bermain kebanyakan hanya anak kami saja.;
Pemandangan indah, udara sejuk, permainan menarik, cocok buat sekeluarga. Ada air mancur menari di lokasi food center dengan aneka makanan yang lezat dan enak. Tempat belanja oleh-oleh pun juga menarik.;
Saya berkunjung ke Batu Night Spectacular ini pas kabut, jadi kurang bagus buat foto-foto. naik wahana juga kurang puas kalau pemandangannya kehalang kabut.;
"Theme Park konsep pasar malam gitu. Next Door dari Jatim Park 2, walupun cuma semalam doank di Batu dan pertama menginjakkan kaki di kota ini, nyari BNS gampang banget , semua penduduk kota ini kayanya tau. Tiket masuknya lumayan, cuma kalau mau nyoba atraksinya mesti bayar lagi (awalnya kirain kaya Dufan di Jakarta) yang pakai tiket terusan. Tempatnya super awesome, ga terlalu luas sih, tapi karena cuaca yang sejuk di Batu, ditambah cahaya di Taman Lampionnya yang unik, terus ada rumah Hantu, 3D Trick Art Galley, dan kalau mau nyobain main Gokart juga bisa, atraksi wajib yah tentu saja gowes naik ""sepeda gantung"" sambil liat pemandangan kota Batu yang spektakuler. Apalagi gowes-nya sama pasangan, hahahah. Oh iya, ada rumah kacanya juga versi Museum Louvre";
Pada wahana lampion cukup dibuat kagum, warna warna lucu yang menyala. serasa kita bukan berada di malang. setelah itu bisa berbelanja di Night Market. Cuaca Batu yang dingin. usahakan pakai jaket.;
BNS atau Batu Night Spectacular ini hanya buka dimalam hari.  wahana disini lengkap seperti  taman lampion untuk keluarga, roll coster dan mobil disco untuk dewasa plus remaja, dan tempat bermain untuk anak kecil juga tersedia plus disini terdapat resto dan booth yang menjual kerajinan tangan khas kota batu!  So sangat recommend untuk keluarga dan anak2 bila kita berkunjung di batu malang;
tempat wisata di batu ini menyediakan tempat bermain dengan biaya per permainan. Jadi masuk belum bisa maen semuanya. Harus bayar lagi. Yang menarik lampionnya ketika malam.;
permainannya yg ekstrem aku suka bersama suami ke sana dan merasakan romantisnya di taman lampu...cuma tempatnya kurang luas;
Terdapat aneka wahana permainan untuk anak-anak dan dewasa, tempat yang cocok untuk rekreasi keluarga. Bagi yang hobi fotografi jangan lewatkan untuk masuk ke dalam taman lampion, aneka warna dan bentuk lampion tersajikan untuk memuaskan hasrat fotografi.;
tempat yang cukup menarik untuk dikunjungi pada malam hari kalau berkunjung ke malang. cuaca yang sangat dingin harus diantisipasi untuk yang tidak terbiasa. tiket masuk tidak terlalu mahal dan sesuai dengan atraksi yang bisa dinikmati didalam. yang paling populer dari tempat ini adalah taman lampion.;
Tempatnya cukup seru tapi sayang harus bayar lagi kalau mau naik ini itu. Yg keren adalah pastinya lampion. Sayang tdk masuk rumah hantu krn anak-anak saya yg. masih kecil pd tdk. mau.;
kal ada ke daerah batu sebaiknya mampir ke BNS, disini ada lampion ada mainan anak2 gokart danbuat ibu2 bisa shooping. masuk 20rb per org kal ndak salah. tiap mainan juga bayar lagi sesuai tarif.;
Siap-siap bawa jaket, karena beberapa wahana outdoor. Tiket hanya untuk masuk saja, sedangkan untuk wahana didalamnya harus bayar lagi. Jadi klo diitung-itung ya lumayan juga, hihi. Dateng jangan pas holiday karena pasti bakal rame banget. Keluar harus lewat souvenir yang cukup panjang jadi bikin bete dan capek.;
Masuk ke BNS bayar dan ke Lampion juga bayar. Dan area lampion2nya tidak telalu besar. Banyaknya permainan-permainan buat anak-anak dan dewasa.;
jika anda mencari aktivitas malam yang menyenangkan selain menikmati dinginnya kota batu, saya rekomendasi menikmati kegiatan outdoor yg menguji keberanian kita di permainan batu night spektakuler. Untuk yang senang narsis dan mengabadikan moment  bisa menikmati lampion2 cantik disana... monggo kita ke BNS;
Batu Night Spectacular ini ada di kawasan batu, Malang. Dekat sekali dengan Jatim park 2 dan secret zoo. Untuk masuk ke tempat wisata ini dipungut biaya masuk dan biaya untuk menaiki wahana yang ada didalamnya yang rata-rata berkisar antara 10.000 hingga 25.000 rupiah. Tempat rekreasi ini bisa dibilang untuk semua umur karena jenis permainannya yang bervariasi. Di BNS juga dilengkapai dengan food court dan sentra penjualan suvenir dan oleh-oleh. Kalau kesana, jangan lupa memakai pakaian yang agak tebal karena hawanya cukup dingin.;
Berkunjung dengan keluarga di malam hari, BNS memang bagus di bagian lampion-lampionnya. Spot yang bagus untuk berfoto. Wahana bermainnya mirip dengan dufan dalam skala yang lebih kecil.;
Sebetulnya yang membedakan tempat ini dari taman bermain lainnya adalah lokasinya yang berada di Batu sehingga cuacanya lebih bersahabat. selebihnya sama dengan taman bermain lainnya baik dari permainan maupun tempat-tempatnya;
Tempat wisata ini juga berada di Kota Wisata Batu. Letaknya di dekat permukiman penduduk, namun pada malam hari seolah-olah tidak nampak, karena pagar area taman wisata diberi penutup berupa tanaman rambat. Banyak wahana yang ditawarkan di dalamnya, dan setiap ingin menikmati wahana harus membeli tiket tersendiri. Di dalam lokasi area wisata ini juga terdapat pusat kuliner dan oleh-oleh khas Batu.;
BNS, kawasan wisata ini biasa disebut begitu, terletak di kota Batu yang terkenal karena keindahan alam dang udaranya yg sejuk. Jika anda berkeunjung ke BNS anda akan disuguhkan udara yg dingin dengan pemandangan lampu-lampu kota malang. Di BNS terdapat berbagai wahana seru, jika ingin uji nyali bisa ke rumah hantu, jika ingin foto-foto bisa ke taman lampion, jika ingin menikmati pemandangan sekitar bs naik wahana kereta yang mengitari kawasan BNS, dijamin seru liburan kesini,,, :);
Benar-benar spektakuler tempat hiburan yang satu ini. Permainan cahayanya sangat luar biasa. Arena permainannya juga banyak tersedia untuk berbagai kalangan usia. Tidak hanya anak-anak yang terhibur, tapi dewasa dan orang lanjut usia pun bisa menikmatinya dengan gembira. Luar biasa!;
"Suasana malam di pegunungan sudah pasti identik dengan kegelapan, sunyi atau bahkan konser alam perpaduan suara hewan malam yang menyatu berbalut sepotong kata ""Seram"".  Sudah pasti itu. Namun beda dengan suasana yang dapat kujumpai saat menginjakkan kaki di pelataran parkir Batu Night Spectacular (BNS) yang berlokasi di sebuat Kota wisata Batu Jawa Timur. Takjub dan seru tentunya sudah terbayang didepan mata. Keramaian malam terkoyak dengan mengalirnya pengunjung di tempat hiburan keluarga dengan harga yang terjangkau dua puluh lima ribu rupiah saja untuk sekali masuk. Memasuki pintu masuk kita sudah dapat menerka berbagai permainan dapat kita nikmati di area ini, Permainannya seru dan atraktif, hampir sebagian besar permainan meningkatkan andrenalin kita. Asyik, seru dan cocok untuk melepaskan kepenatan setelah sepekan bekerja kita dapat refresing dan mencoba berbagai wahana.Belum lengkap di kota Batu kalau belum berkunjung ke ""BNS""";
Banyak lampu berkelap-kelip jadi ciri khas tempat ini karenanya dinamakan spektakuler. Layaknya taman hiburan, fasilitas di dalamnya adalah wahan permainan dan tempat makan. Tempatnya tidak terlalu besar hingga anda tidak akan susah mencari rekan serombongan anda. Tetpi itulah serunya, karena  tidak perlu berpencar dengan keluarga dan teman-teman, bisa bermain bersama dan seru-seruan. Taman lampion raksasa pasti menarik untuk dikunjungi, karena bisa puas foto-foto dengan banyak lampion. Lama satu permainan pun tidak terlalu lama. Jadi satu malam cukup bisa mencoba semua wahana, Tempat makan juga menyediakan menu yang bervariasi karena berbentuk foodcourt. Yang mencari oleh-oleh dari Batu telah disediakan totko-toko berjejer menjual souvenir kaos, asesoris dan makanan ringan khas di rute keluar.;
Batu sebagai kota apel memiliki salah satu tempat rekreasi malam yang cukup menarik. Tempat rekreasi ini menawarkan wahana yang dapat menunjukkan kekhasan Batu karena letaknya di dataran tinggi. Lahan parkir yang disediakan cukup luas, bus pun dapat masuk. Harga tiket masuk yang ditawarkan juga sangat terjangkau sesuai dengan pengalaman yang akan diperoleh. Beragam kuliner khas Batu juga mudah ditemui di dalam tempat wisata ini.;
BNS terletak di kota Batu, letaknya tidak jauh dari Hotel Pohon Inn. Wahana ini sangat menarik pada malam hari karena banyaknya lampion-lampion yang menyala. Dari BNS kita juga dapat melihat keindahan lampu-lampu kota, karena letaknya yang berada di ketinggian. Di BNS harus menggunakan baju hangat karena lokasinya yang berada di ketinggian dan buka pada malam hari. Wahananya sih tidak jauh berbeda dengan wahana-wahana di tempat lain.;
"Ketika mengunjungi Batu Night Spectacular (BNS) tujuan utama saya hanya melihat lampion-lampion ketika menyala. Ketika lampion mulai menyala saya pun mulai masuk ke ""Lampion Garden"" di BNS ini. saya sangat senang senang dapat mengunjungi tempat ini. Lampion-lampion yang menyala menurut saya sangat indah. sangat disarankan bagi anda yang ingin ke BNS untuk memabawa kamera untuk mengabadikan anda dengan lampion. Dan pastinya Jaket yang cukup tebal untuk menghangatkan tubuh anda.";
"Batu Night Spectacular atau biasa disebut BNS terletak di kota Batu, sehingga bila kita ingin berkunjung ke tempat ini, lebih baik siapkan baju hangat karena udara cukup dingin, apalagi area bermain ini hanya dibuka di malam hari. BNS menawarkan beberapa atraksi permainan, hampir mirip dengan tempat permainan lainnya, tidak begitu menarik bagi saya. Jika berkunjung ke sana saat weekend, siap-siap saja dengan padatnya pengunjung dan antrian permainan yang mengular. Yang cukup menarik perhatian saya adalah lampion garden atau taman lampion; suatu area yang berisi lampion-lampion besar berbentuk tokoh-tokoh kartun, menara Eiffel, dan bentuk-bentuk unik lainnya; serta tidak ketinggalan danau buatan yang di atasnya berdiri anggun lampion berbentuk ikan, angsa, dan juga bunga teratai. Lampion-lampion ini tertata cukup rapi dan bercahaya dengan indah. Cukup menarik untuk memanjakan mata sejenak di area taman lampion ini.";
Buat anda remaja yang mau playing fun dengan teman-teman, atau anda yang ingin memicu adrenalin dengan mencoba permainan yang menegangkan, tempat ini mungkin cocok untuk anda. Tapi selebihnya, menurut saya, tempat ini hanyalah salah satu amusement park. Cukup untuk dikunjungi sekali, kecuali anda mau menjajal semua permainan yang ada. Tapi keseriusan pengelola untuk menggarap taman ini perlu diapreasiasi, karena biasanya taman-taman sejenis digarap seadanya dengan konsep pasar malam. BNS tentunya berbeda.;
Tampat ini menarik untuk beristirahat setelah menikmati perjalanan dengan pemandangan indah di pegunungan sekitar Malang dan Batu. Café-nya memberikan menu internasional yang menarik. Tapi suasananya bising, dan 'atraksi'-nya tampak kurang pas dengan lingkungan pegunungan segar di sekitarnya.;
Berbagai fasilitas di BNS perlu diperbaiki dan disempurnakan lagi. Sistem pembayaran yang dilakukan di tiap wahana juga agak menyulitkan pengunjung, lebih baik memakai sistem karcis terusan saja. Area food court pun kurang nyaman.;
Batu Night Spectacular (BNS) terletak tidak jauh dari Jatim Park. Tempat ini (kalau tidak salah) baru buka setelah jam 5 sore. Saya sudah dua kali ke tempat ini. Parkir kendaraan cukup representatif dan luas. Tetapi untuk jumlah wahana permainan tidak cukup banyak, mungkin karena lahan yang tersedia juga tidak cukup luas. Ada tempat makan yang cukup memadai di dalam, di mana kami bisa menikmati makan malam bersama teman-teman sambil menikmati permainan cahaya lampu. Beberapa wahana yang seru untuk dicoba antara lain: sepeda udara, karting, ski es, laser war.;
tempat yg romantis untuk pasangan.. merupakan penutup yg pas setelah seharian berjalan-jalan di Jatim Park;
Tempat rekreasi yang wajib dikunjungi di Batu ! Wisata Malam yang menyenangkan dengan hawa sejuk yang pastinya membuat saya dan  teman-teman dari Jakarta merasakan segarnya udara bersih bahkan di malam yang ramai dengan wisatawan ! Wahana permainan di BNS juga cukup variatif dan menyenangkan.;
Di BNS kita bisa menikmati bermacam - macam atraksi permainan mulai dari ketangkasan sampai yang mengadu nyali. Salah satu favorit saya adalah Sepeda udara. Dimana kita naik semacam sepeda di atas ketinggian. Menariknya, dari atas kita bisa melihat kota batu dengan jelas dan terpaan udara malam yang dingin. Sangat cocok untuk keluarga yang suka dengan wisata malam hari.;
Luar biasa, pertimbangkan jika hadir pada musim hujan. sehingga bisa lebih maksimal wisata Anda. Pertimbangkan untuk datang setelah bulan April.;
sebuah pariwisata yang terlengkap dan mewah,terletak di lereng gunung panderman,hawa yg sejuk dan nyaman.pengunjung juga bisa menikmati indahnya panorama kota malang raya dan kota batu raya di malam hari,di dekat wisata malam itu anda juga bisa menginap di villa dengan harga yg ekonomis;
Lokasi yang amat menyenangkan dengan satu catatan: tidak hujan. Satu hal yang membuat saya suka datang ke tempat ini adalah taman lampion dengan bentuk yang aneh-aneh. Wahana lainnya boleh anda coba (tapi saya tidak terlalu suka). Tempat ini jelas menyenangkan kalau anda datang bersama pasangan atau keluarga, kalau anda jomblo, lupakan tempat ini dari daftar kunjungan anda, cuma bikin iri hehehehehehe;
"Tempatnya bagus dan banyak wahana yang harus dicoba.  Tapi sayangnya kalau datang pas liburan, tempatnya menjadi sangat padat dan suasananya jadi kurang nyaman untuk anak kecil.  Mungkin hal ini biasa terjadi ditempat-tempat hiburan umum.  Banyaknya pengunjung, tempat penjualan souvenir yang tidak rapi, penjaga toko yang teriak-teriak menawarkan dagangan menjadikan tempat ini serasa ""pasar malam"" (mungkin saja konsep awal berdirinya dibuat seperti pasar malam).  Jarak yang harus ditempuh (saya datang dari Bali) tidak seimbang dengan pengalaman yang didapat.";
lumayan lah...tempat wahana bermain yang cukup menarik, apalagi buka di malam hari. naik wahana di malam hari lebih menantang adrenalin. Air mancur menarinya bagus.;
tidak mahal,terjangkau,hanya ada beberapa mainan yang standar keamanannya kurang terutama untuk  mainan pake gantungan lupa namanya,sebaiknya jarak tidak terlalu dekat antara permainan,terlalu padat,untuk lampionnya cukup bagus saya suka terutama anak2.;
Semua ulasan bilang romantis, iya dikarenakan BNS buka pada malam hari romantis untuk pacaran mau ngapain aj gak kelihatan .... hmmm;
Anda tidak akan menyesal, jikalau berkunjung ke BHS-Malang. Disana anda akan menjumpai berbagai wahana hiburan yang pastinya sungguh menarik dan menabjubkan..;
biaya masuk 15rb tetapi untuk setiap mainan yg akan dimasuki, kita tetap harus membayar, minimal 7rb /org/1 jenis permainan. jd total biaya yg harus dikeluarkan kemungkinan bisa mencapai 75rb jika membawa anak-anak;
BNS ( Batu Night Spectakuler ) Wahana wisata malam hari dengan lampion-lampion yang menarik, lucu dan keren. Bisa dijadikan referensi liburan bersama keluarga saat weekend. :D;
Hrga tiket masuknya untuk Weekend sekitar 20ribu, kalau mau naik mainan ya harus bayar lagi. Kebetulan saya hanya masuk ke lampion garden. Tiket masuknya kalo tidak salah juga 20ribu. Banyak lampion yang bagus dan lucu-lucu disini. Suasana romantisnya juga sangat terasa apalagi udara dingin kota Batu makin malam makin terasa. Kalo ke Batu wajib mampir ke BNS.;
Waktu liburan hari raya kemaren aku menyempatkan ke BNS,karena penasaran karena banyak yang bilang tempatnya bagus.Ternyata tempatnya bisa dibilang sama dengan tempat wisata malam biasanya,,apalagi kalo buat yang pengen libura hemat mending jangan kesitu deh..Tiap wahan mesti bayar kalo aku sih nyaranin mending ke jawatimur park aja wisatanya paketan murah lagi...;
tempat wisata ini memberikan alternatif menikmati hawa sejuk kota batu di malam hari. sangat khas dengan taman lampion nya yang indah. banyak permainan disini. dari anak-anak hingga orang tua bisa bermain disini. biaya masuknya juga tak mahal. terletak tak jauh dari jatim park 2. jadi habis bermain di jatim park 2 bisa sambung kesini.;
Bagus untuk berfoto2 dengan keluarga, juga tempat yang fun untuk mencoba permainan di sana, tidak terlalu mahal untuk dicoba, semua kalangan bisa, tua/muda/remaja/anak2, lokasi juga cukup nyaman, apalagi ada resto dg aneka makanan, cukup menyenangkan dan lengkap ...;
sebenernya seru banget tempatnya bukanya sore ampek malem banyak wahana permainan lampion jga bagus,namun sayangnya harga tiket masuknya g sekalian aja misalnya bayar cepek wahana free semua,tpi g gitu masuk ini bayar masuk itu bayar ya meskiada beberapa yang free tpi malah bikin boros,mungkin ini masukan buat pengelola,so semua good,saya udh 3 kali ke sana dan pengen lagi balik ke kota batu malang,,,,,,,,,;
Secara keseluruhan sich bagus, BNS itu seperti pasar malam, kita bisa menikmati banyak permainan-permainan. Harga juga mahal.....cocok bagi orang yang berkantong tebal.;
wah, keren, seru banget... kita bisa maen sepuasnya di BNS,, bisa nonton pertunjukan air mancur menari sambil menikmati jajanan di foodcourt...;
"benar"" menarik untuk wisata malam... benar"" strategi yg jitu.. setelah jatimpark jam kunjung habis.. saatnya berpindah ke BNS..";
Biasanya taman bermain buka di siang hari, namun BNS justru buka di malam hari. Letaknya berada di pegunungan sehingga udaranya dingin dan sering turun hujan rintik-rintik. Area taman bermain ini tergolong kecil, namun banyak terdapat wahana permainan anak sampai dewasa di tempat ini. Selain itu juga terdapat restoran, foodcourt, stand oleh-oleh khas Malang seperti buah segar, aneka keripik, dodol buah, pia ubi, kaos, sandal, patung, lukisan, dan masih banyak lagi. Pada weekend dan musim libur sekolah, BNS sangat ramai dipenuhi pengunjung dari luar kota sehingga pengunjung seringkali kesulitan dalam mendapatkan tempat parkir. Harga makanan di dalam BNS cukup terjangkau dengan banyak jenis makanan yang ditawarkan. BNS buka dari pukul 15.00 sampai 23.00;
so fun but feel not so awesome ....karena outdoor mungkin saya yg kurang beruntung karena belum puas main hujan....brrrr....;
Tempat yang menyenangkan untuk mengunjungi, banyak hiburan untuk mencoba dari sedang mobil untuk Roller Coaster, tetapi hanya tersedia di malam hari!;
ada beberapa permainan menarik yang ditambahkan di taman seperti penyihir Castle, gokart dan sebagainya. Saya mencoba sepeda udara dan lentera berwarna Garden. Hahaha. Ini adalah yang menyenangkan dan banyak tertawa dengan pacar saya sementara kami berada di sana. Anda tidak harus memilih antara makan, bermain dan berbelanja karena Anda mendapatkan itu semua.;
Ini kedua kalinya saya pergi ke BNS. Saya rasa tidak ada kemajuan yang signifikan dari BNS. Seperti terakhir kali. Saya datang ke BNS ini karena Lampion Garden. Objek wisata yang lain sangat tidak menarik bagi saya.;
Bagus untuk dikunjungi pada malam hari karena mereka hanya buka di sore hari hingga tengah malam jika tidak salah. Sepertinya selalu ramai setiap hari dan tidak mudah untuk mendapatkan parkir di Anda datang di akhir pekan. Anak-anak akan menyukai tempat ini.;
Tempat ini adalah tempat pertama kami mengunjungi saat tiba di Batu. Hanya buka di malam hari dengan udara dingin, anak siap dengan jaket. Bayi adalah tempat yang besar dan sangat nyaman. Untuk wahana lainnya, max 100 kg berat badan harus mengumumkan di pintu masuk, karena salah satu anggota kelompok kami melebihi batas berat ini dan hanya membuang uang untuk membeli semua tiket pass. Secara keseluruhan, sangat unik dari BNS lampions dengan bentuk dan pemandangan yang indah.;
Taman hiburan yang tidak terlalu besar, sekitar 3 jam buka di sore hari. Tapi karena batu tidak memiliki banyak atraksi wisata malam, BNS bisa menjadi destinasi yang indah. ;
Tempat yang bagus untuk anak-anak untuk bermain. Lampions, Rumah Berhantu, dan lain hal yang anak-anak bisa bermain. Mungkin cocok untuk anak-anak berusia 12 tahun ke 5. Mereka memiliki makanan juga. Oto parkir.;
Tempat ini adalah tempat yang bagus untuk mengunjungi ketika di malam hari hanya. Bagian terbaik dari tempat ini adalah lampu taman. Ini adalah tempat yang indah dan romantis, terutama ketika Anda pergi dengan pasangan Anda.;
Terletak di Batu, Malang. Tempat ini sangat dingin, karena saya Fron Surabaya. Dan banyak juga permainan di sini dan sangat sibuk di malam hari untuk lalu lintas tetapi tidak khawatir hanya Sabtu malam. Dan ada begitu banyak makanan BNS courner di sini. ;
Tempat ini adalah tempat yang bagus. Memiliki banyak objek wisata, dan berbagai permainan, taman yang indah. Dan banyak penjual makanan. Tempat yang direkomendasikan;
Pengalaman yang berbeda dari theme park. Ada wahana, lentera berwarna taman yang sangat cantik. Berbagai permainan dan rides untuk seluruh keluarga. Pengalaman yang baik;
Kami pergi ke sana pada malam pertama kami tinggal di Batu, awalnya tidak berharap terlalu banyak. Tapi setelah pertama datang, anak kami seperti penggemar untuk pergi ke sana lagi di hari berikutnya. Sejak pertama kali datang kami pergi ke sana sekitar pukul 20 . 30 dan tempat ditutup pada 22 . 00. Kami sangat senang untuk melihat anak kami berteriak senang. Namun harganya cukup lebih murah daripada tempat lain serupa di kota. ;
Ini tampak seperti pasar malam lain yang luar biasa objek wisata yang menawan. Ini adalah tempat yang bagus untuk menghabiskan waktu dengan teman di sini. Karena jalan sempit di depan, lalu lintas adalah masalah umum itu.;
Ini adalah sebuah taman hiburan malam di Batu. Anak-anak menyukai lampu dan lentera berwarna. Kami menggunakan untuk mengunjungi taman taman lentera berwarna.;
Hanya penuh cahaya buatan, mungkin untuk orang lain. Permainan ini mirip dengan banyak orang lain di kota yang cukup menyenangkan. Baik tergantung pada Anda untuk menikmati lampu.;
salah satu objek wisata yang harus dikunjungi di batu. Mereka menawarkan begitu banyak naik, tapi sayangnya saya tidak bisa bermain banyak permainan karena beberapa batasan. Waktu terbaik untuk mengunjungi adalah setelah 6 pm, Anda akan menikmati taman dengan banyak lampu di sekitar.;
salah satu destinasi di Kota Batu yang baik, Malang, khususnya di malam hari Tur, semua anak-anak saya sangat senang bisa berkunjung di sana, tempat yang bagus dan baik dengan variasi menu kuliner, coverall bagus. ;
Tempat ini adalah sangat hidup dan menyenangkan, ini memberi Anda merasa seperti taman hiburan dan tempat yang bagus untuk menghabiskan malam anda di Batu. Di sini tersedia berbagai macam atraksi, Rumah Berhantu, Taman lentera berwarna, toko souvenir juga tersedia. Mengunjungi tempat ini dengan keluarga, teman atau orang tercinta dan menyenangkan!;
Saya pikir tempat ini awalnya disediakan untuk penduduk setempat. Itulah mengapa daerah ini agak kecil. Namun sekarang tempat ini menjadi populer di antara orang luar dan bisa mendapatkan ramai di kali. Objek wisata yang menarik anak-anak muda meskipun tidak ada yang luar biasa tentang mereka. Tempat ini layak untuk dikunjungi karena sangat terjangkau.;
Ini adalah taman hiburan kecil, dengan beberapa tempat bermain yang kami harus membayar lagi jika ingin bermain itu. Ini adalah bagian dari terkenal Taman lampion/lentera berwarna. Ada banyak pilihan makanan di food court dan souvenir. Komentar saya adalah sholat bagi yang muslim sangat kecil dan di dekat panggung di food court di mana mereka memainkan musik/pertunjukan di langit-langit layar, jadi itu berisik.;
Mengunjungi tempat ini dengan istri dan 5 y. o anak perempuan. Tempat ini lebih menyerupai hotel pasar malam, dengan naik dan makanan dengan harga terjangkau. Di taman lentera berwarna yang sangat baik, dengan banyak tempat foto.;
Tempat ini terawat dengan baik taman dengan wahana yang bagus di malam hari. Tapi tidak ada yang istimewa di sini. Staf yang ramah dan mudah diakses. sangat populer di kalangan penduduk setempat;
Seperti namanya, tempat ini buka di malam hari. Di dalamnya ada beberapa area:  - Hanya saja seperti wahana di taman hiburan.  - Rumah hantu.  - Warna lampu taman (beberapa dekorasi yang penuh dengan lampu di dalam berbagai bentuk, berkumpul di taman).  - Pasar kecil yang menjual berbagai jenis suvenir lokal.  - Foodcourt. Semua area di luar ruangan (kecuali Pasar dan pusat makanan - - tidak ada AC, hanya atap). Bagi saya secara pribadi, ini bukan ide yang baik untuk membawa ibu dan anak preggie. Asap rokok dimana-mana, dan saya tidak suka itu. Itulah mengapa saya, satu kali di sini sudah cukup.;
Karnaval malam hari yang sangat menarik di Malang, mereka semua tidak dapat berisiko bagi mereka yang berhati lemah. Anda harus membayar biaya masuk untuk pergi kemudian jika Anda melihat perjalanan Anda ingin mencoba anda dapat pergi ke bilik yang lebih kecil di dekatnya (semua di sekitar taman) untuk membeli tiket tambahan untuk bergabung dengan perjalanan. Saya merekomendasikan Gavitron spin yang terkenal sangat cepat anda langsung berubah menjadi magnet kulkas (jangan tanya bagaimana). Jika anda kurus (ya, mereka peduli) pergi ke depan dan mencoba Sepeda gila, mengendarai sepeda yang menjadi kelebihan Anda turun sekitar juta kali. Jika Anda ingin merasa aman, duduk di atas kursi Terbang (Flying kursi) Anda dan teman yang ayunan di sekitar beberapa kali (mereka bahkan bermain Lenka ini masalah adalah teman selama perjalanan - pilihan lagu yang bagus! ). BNS adalah cara sempurna untuk menghabiskan malam di Malang, jika Anda bangun untuk itu.;
Bagus untuk anak-anak dan teenangers. Tapi jangan khawatir untuk orang tua bisa menunggu di food court dengan pertunjukan musik langsung dan beberapa tempat hiburan. Toko suvenir dan barang untuk.;
Banyak wahana, biaya masuk yang dapat diterima. Semua wahana tampak terawat dengan baik. Jika Anda hanya ingin bersantai mereka juga memiliki sepeda gantung, lampu taman dan 4 d ilusi Museum. Makanan yang besar dengan berbagai pilihan makanan yang baik dan harga yang dapat diterima. Toko souvenir yang akan sebelum pintu keluar, lagi dengan tarif yang dapat diterima.;
Tempat ini mungkin baik untuk remaja atau dewasa. Tapi anak saya pikir itu sedikit bosan. Kamu dapat melihat lampion, pertunjukan musik dan air mancur dengan musik;
Seperti sebuah taman hiburan. Baik untuk melewatkan ini kecuali Anda telah tidak ada elase untuk pergi di malam hari. Bagus untuk anak-anak dan remaja. Ada pasar malam yang menjual suvenir t pergeseran jawabannya.;
Saya dan keluarga dan kami memiliki waktu yang besar di sini di malam terakhir, pergi ke taman dan mengambil banyak lentera berwarna pertama foto, maka untuk menyenangkan rides;
jangan bandingkan ke jatim park atau predator fun park. Yang menurut saya agak sedikit mahal karena kita harus membayar lebih untuk setiap permainan yang kami ingin bermain yang ditambah biaya masuk. Keseluruhan ini adalah malam yang bagus taman, makanan standar. Perlu peningkatan dalam hal kebersihan dan fasilitas. ;
itu tampak seperti dufan (dunia fantasi) di jakarta, tapi terbuka pada sore hari. Saya akan lebih memilih setelah 6pm ketika anda sampai di sana. Ini akan menjadi bagus.;
Orang dapat menikmati taman hiburan dengan berbagai atraksi dan permainan menarik, ada lentera berwarna taman yang memiliki tempat yang bagus untuk malam gigitan daging.;
Hanya ruang yang bagus dengan taman hiburan dan toko-toko. Lentera berwarna (lentera) Park adalah objek wisata lainnya. Cocok untuk keluarga dan anak-anak, atau sayang dovey - pasangan.;
tempat ini hanya menakjubkan, begitu banyak hal yang kami dapat bermain di dalam, di gravitasi adalah bagian terbaik dari tempat ini dan tentu saja saya ingin mengunjungi tempat ini lagi jika saya kembali ke batu;
Mereka menyediakan banyak wahana, tapi mereka aint gratis. Anda harus membayar sekitar 10,000 - 15,000 per perjalanan. Menyenangkan untuk bermain di wahana bns dan cocok untuk segala usia. Dan mereka memiliki beberapa taman lentera berwarna, itu indah, tapi anda tidak dapat melakukan selain mengambil foto. Mereka juga menyediakan gokart, tapi saya tidak mencobanya jadi saya tidak tahu tentang hal itu. ;
Biaya masuk adalah sekitar 90 ribu, sangat tidak layak, karena anda perlu membayar lagi untuk memasuki taman lentera berwarna, pergi ke jatim park 2, saat hari kerja yang lebih murah dan anda mendapatkan tidak hanya taman hiburan, tetapi museum, pertunjukan live, dll. Restoran di sini adalah sangat tidak direkomendasikan sebagai baik.;
Kami tiba di tempat ini menawarkan 7pm dan banyak anak-anak hiburan dan juga mengecam taman indah. Tiket sangat terjangkau (rp 100k lumayan). Direkomendasikan untuk keluarga dengan anak-anak atau anak-anak muda. ;
Banyak lampion yang bagus di sini. Kami pergi ke sana di malam hari. Saya dan anak saya menonton film 4D dapat bermain di sini.;
Ini adalah konsep baru yang bermain di malam hari... menyimpan, berbagai jenis bermain, banyak cahaya... ini adalah bagus,, terutama untuk keluarga ;
